北京
月份,指数,环比(%),指数,环比(%)
2019年08月,8261,-0.02,2249,0.13
2019年09月,8248,-0.16,2254,0.22
2019年10月,8213,-0.42,2255,0.04
2019年11月,8157,-0.68,2250,-0.22
2019年12月,8144,-0.16,2238,-0.53
2020年01月,8122,-0.27,2229,-0.40
2020年02月,8088,-0.42,2222,-0.31
2020年03月,8060,-0.35,2219,-0.14
2020年04月,8037,-0.29,2208,-0.50
2020年05月,8055,0.22,2198,-0.45

上海
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,2117,0.24
2020年07月,---,0.00,2121,0.19
2020年08月,---,0.00,2123,0.09
2020年09月,---,0.00,2126,0.14
2020年10月,---,0.00,2130,0.19
2020年11月,---,0.00,2134,0.19
2020年12月,---,0.00,2134,0.00
2021年01月,---,0.00,2138,0.19
2021年02月,---,0.00,2135,-0.14

广州
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,2140,-0.19
2020年07月,---,0.00,2135,-0.23
2020年08月,---,0.00,2134,-0.05
2020年09月,---,0.00,2133,-0.05
2020年10月,---,0.00,2139,0.28
2020年11月,---,0.00,2137,-0.09
2020年12月,---,0.00,2137,0.00
2021年01月,---,0.00,2135,-0.09
2021年02月,---,0.00,2125,-0.47

深圳
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,2594,0.04
2020年07月,---,0.00,2595,0.04
2020年08月,---,0.00,2603,0.31
2020年09月,---,0.00,2607,0.15
2020年10月,---,0.00,2608,0.04
2020年11月,---,0.00,2608,0.00
2020年12月,---,0.00,2608,0.00
2021年01月,---,0.00,2604,-0.15
2021年02月,---,0.00,2595,-0.35

天津
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,1053,0.00
2020年07月,---,0.00,1052,-0.10
2020年08月,---,0.00,1049,-0.29
2020年09月,---,0.00,1049,0.00
2020年10月,---,0.00,1048,-0.10
2020年11月,---,0.00,1046,-0.19
2020年12月,---,0.00,1046,0.00
2021年01月,---,0.00,1041,-0.48
2021年02月,---,0.00,1040,-0.10

武汉
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,1299,-1.07
2020年07月,---,0.00,1294,-0.39
2020年08月,---,0.00,1291,-0.23
2020年09月,---,0.00,1285,-0.47
2020年10月,---,0.00,1282,-0.23
2020年11月,---,0.00,1277,-0.39
2020年12月,---,0.00,1277,0.00
2021年01月,---,0.00,1268,-0.71
2021年02月,---,0.00,1267,-0.08

重庆
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,1175,-0.68
2020年07月,---,0.00,1173,-0.17
2020年08月,---,0.00,1172,-0.09
2020年09月,---,0.00,1175,0.26
2020年10月,---,0.00,1175,0.00
2020年11月,---,0.00,1177,0.17
2020年12月,---,0.00,1177,0.00
2021年01月,---,0.00,1173,-0.34
2021年02月,---,0.00,1173,0.00
2021年03月,---,0.00,1174,0.09

南京
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,1736,0.17
2020年07月,---,0.00,1737,0.06
2020年08月,---,0.00,1738,0.06
2020年09月,---,0.00,1743,0.29
2020年10月,---,0.00,1748,0.29
2020年11月,---,0.00,1748,0.00
2020年12月,---,0.00,1748,0.00
2021年01月,---,0.00,1748,0.00
2021年02月,---,0.00,1742,-0.34
2021年03月,---,0.00,1739,-0.17

杭州
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,1825,-0.60
2020年07月,---,0.00,1820,-0.27
2020年08月,---,0.00,1816,-0.22
2020年09月,---,0.00,1810,-0.33
2020年10月,---,0.00,1809,-0.06
2020年11月,---,0.00,1805,-0.22
2020年12月,---,0.00,1805,0.00
2021年01月,---,0.00,1806,0.06
2021年02月,---,0.00,1803,-0.17

成都
月份,指数,环比(%),指数,环比(%)
2020年06月,---,0.00,1661,-0.12
2020年07月,---,0.00,1657,-0.24
2020年08月,---,0.00,1656,-0.06
2020年09月,---,0.00,1663,0.42
2020年10月,---,0.00,1665,0.12
2020年11月,---,0.00,1666,0.06
2020年12月,---,0.00,1666,0.00
2021年01月,---,0.00,1676,0.60
2021年02月,---,0.00,1674,-0.12

