北京
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
2020年06月,4442,0.02,4534,0.07,4305,-0.07,3958,-0.20
2020年07月,4444,0.05,4537,0.07,4309,0.09,3952,-0.15
2020年11月,4452,0.05,4544,0.02,4315,0.05,3964,0.05
2020年12月,4451,-0.02,4545,0.02,4306,-0.21,3962,-0.05
2020年04月,4441,-0.02,4529,-0.09,4310,0.26,3974,0.00
2020年09月,4448,-0.02,4541,-0.04,4311,-0.02,3960,0.20
2020年10月,4450,0.05,4543,0.04,4313,0.05,3962,0.05
2020年08月,4449,0.11,4543,0.13,4312,0.07,3952,0.00
2020年05月,4441,0.00,4531,0.04,4308,-0.05,3966,-0.20
2021年01月,4451,0.00,4546,0.02,4305,-0.02,3962,0.00

上海
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
2020年06月,3594,0.08,3547,0.03,4440,0.23,2674,0.19
2020年07月,3598,0.11,3553,0.17,4440,0.00,2674,0.00
2020年11月,3606,0.06,3563,0.06,4441,-0.02,2671,0.08
2020年12月,3609,0.08,3568,0.14,4441,0.00,2670,-0.04
2020年04月,3589,0.08,3544,0.14,4430,-0.09,2668,0.08
2020年09月,3601,0.08,3557,0.11,4443,0.05,2667,-0.04
2020年10月,3604,0.08,3561,0.11,4442,-0.02,2669,0.08
2020年08月,3598,0.00,3553,0.00,4441,0.02,2668,-0.22
2020年05月,3591,0.06,3546,0.06,4430,0.00,2669,0.04
2021年01月,3612,0.08,3571,0.08,4442,0.02,2670,0.00

广州
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
2020年06月,3232,0.06,3154,0.06,2401,0.21,5063,0.00
2020年07月,3239,0.22,3160,0.19,2387,-0.58,5105,0.83
2020年11月,3258,0.06,3181,0.09,2377,-0.17,5160,0.16
2020年12月,3267,0.28,3192,0.35,2381,0.17,5157,-0.06
2020年04月,3228,0.16,3151,0.29,2389,-0.25,5065,-0.06
2020年09月,3255,0.09,3177,0.06,2385,-0.04,5144,0.33
2020年10月,3256,0.03,3178,0.03,2381,-0.17,5152,0.16
2020年08月,3252,0.40,3175,0.48,2386,-0.04,5127,0.43
2020年05月,3230,0.06,3152,0.03,2396,0.29,5063,-0.04
2021年01月,3273,0.18,3200,0.25,2383,0.08,5157,0.00

深圳
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
2020年06月,5205,0.00,4938,0.00,6134,-0.10,5818,0.17
2020年07月,5209,0.08,4941,0.06,6142,0.13,5818,0.00
2020年11月,5214,-0.02,4946,-0.02,6158,0.02,5812,-0.05
2020年12月,5215,0.02,4947,0.02,6153,-0.08,5813,0.02
2020年04月,5211,0.02,4938,0.00,6181,0.11,5805,-0.05
2020年09月,5216,0.00,4948,-0.02,6156,0.13,5818,0.00
2020年10月,5215,-0.02,4947,-0.02,6157,0.02,5815,-0.05
2020年08月,5216,0.13,4949,0.16,6148,0.10,5818,0.00
2020年05月,5205,-0.12,4938,0.00,6140,-0.66,5808,0.05
2021年01月,5215,0.00,4948,0.02,6151,-0.03,5811,-0.03

天津
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
2020年06月,2157,-0.05,1996,-0.05,2034,0.05,3547,-0.03
2020年07月,2158,0.05,1995,-0.05,2040,0.30,3559,0.34
2020年11月,2155,-0.05,1990,-0.10,2050,0.15,3552,0.00
2020年12月,2154,-0.05,1989,-0.05,2051,0.05,3550,-0.06
2020年04月,2157,0.00,1998,-0.05,2025,0.20,3545,-0.03
2020年09月,2158,0.05,1995,0.05,2044,0.00,3552,-0.03
2020年10月,2156,-0.09,1992,-0.15,2047,0.15,3552,0.00
2020年08月,2157,-0.05,1994,-0.05,2044,0.20,3553,-0.17
2020年05月,2158,0.05,1997,-0.05,2033,0.40,3548,0.09
2021年01月,2152,-0.09,1987,-0.10,2051,0.00,3544,-0.17

武汉
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
2020年06月,1640,0.12,1615,0.19,936,0.00,2879,-0.17
2020年07月,1644,0.24,1618,0.19,941,0.53,2896,0.59
2020年11月,1649,0.06,1625,0.12,939,-0.21,2895,-0.04
