12月
城市,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
北京,,0.00,,0.00,,0.00,,0.00
上海,,0.00,,0.00,,0.00,,0.00
天津,,0.00,,0.00,,0.00,,0.00
重庆,,0.00,,0.00,,0.00,,0.00
深圳,,0.00,,0.00,,0.00,,0.00
广州,,0.00,,0.00,,0.00,,0.00
杭州,,0.00,,0.00,,0.00,,0.00
南京,,0.00,,0.00,,0.00,,0.00
武汉,,0.00,,0.00,,0.00,,0.00
成都,,0.00,,0.00,,0.00,,0.00

11月
城市,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
北京,,0.00,,0.00,,0.00,,0.00
上海,,0.00,,0.00,,0.00,,0.00
天津,,0.00,,0.00,,0.00,,0.00
重庆,,0.00,,0.00,,0.00,,0.00
深圳,,0.00,,0.00,,0.00,,0.00
广州,,0.00,,0.00,,0.00,,0.00
杭州,,0.00,,0.00,,0.00,,0.00
南京,,0.00,,0.00,,0.00,,0.00
武汉,,0.00,,0.00,,0.00,,0.00
成都,,0.00,,0.00,,0.00,,0.00

10月
城市,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
北京,,0.00,,0.00,,0.00,,0.00
上海,,0.00,,0.00,,0.00,,0.00
天津,,0.00,,0.00,,0.00,,0.00
重庆,,0.00,,0.00,,0.00,,0.00
深圳,,0.00,,0.00,,0.00,,0.00
广州,,0.00,,0.00,,0.00,,0.00
杭州,,0.00,,0.00,,0.00,,0.00
南京,,0.00,,0.00,,0.00,,0.00
武汉,,0.00,,0.00,,0.00,,0.00
成都,,0.00,,0.00,,0.00,,0.00

09月
城市,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
北京,,0.00,,0.00,,0.00,,0.00
上海,,0.00,,0.00,,0.00,,0.00
天津,,0.00,,0.00,,0.00,,0.00
重庆,,0.00,,0.00,,0.00,,0.00
深圳,,0.00,,0.00,,0.00,,0.00
广州,,0.00,,0.00,,0.00,,0.00
杭州,,0.00,,0.00,,0.00,,0.00
南京,,0.00,,0.00,,0.00,,0.00
武汉,,0.00,,0.00,,0.00,,0.00
成都,,0.00,,0.00,,0.00,,0.00

08月
城市,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
北京,,0.00,,0.00,,0.00,,0.00
上海,,0.00,,0.00,,0.00,,0.00
天津,,0.00,,0.00,,0.00,,0.00
重庆,,0.00,,0.00,,0.00,,0.00
深圳,,0.00,,0.00,,0.00,,0.00
广州,,0.00,,0.00,,0.00,,0.00
杭州,,0.00,,0.00,,0.00,,0.00
南京,,0.00,,0.00,,0.00,,0.00
武汉,,0.00,,0.00,,0.00,,0.00
成都,,0.00,,0.00,,0.00,,0.00

07月
